核对日期,类别,文档性质,标题,项目相对路径,用途,格式,仓库状态,字节数,SHA256
2026-09-17,三、运行、维护与交接,历史工程约定,Shared implementation contract,docs/implementation_contract.md,了解当时的接口与分工。文件中的人员职责不作为现在的任务授权或唯一实现规范。,md,Git 已跟踪,2615,deeca28a31758189ae18bea28d4453473c9e6d6747954b33341a24257355d2e3
2026-09-17,三、运行、维护与交接,当前本机环境说明,本机 PostgreSQL + pgvector,docs/local_postgres.md,项目隔离的数据库、端口、运行目录及初始化；不是托管数据库的安装指南。,md,Git 已跟踪,9772,39349f55f98e81c2bcff75b8f70ef054a01c3ed59533240c27a8754d15742154
2026-09-17,三、运行、维护与交接,当前本机运维说明,本机运行、预算与交接,docs/operations.md,启停、完整快照导入、付费索引、预算、备份恢复和公众发布待办。Windows 脚本不等于现成 Linux 部署配置。,md,Git 已跟踪,12667,f0876fc9428f53e57f8a80c1f856f0bd313a858f2d20f3c2cbe140981296ddf9
2026-09-17,一、当前入口,当前使用说明,Advertising Observatory user guide,docs/user_guide.md,当前使用说明。解释统计对象、未知日期、检索范围、来源链接配置及故障提示。,md,Git 已跟踪,10859,ccff563ca6260846704f954014cd7131c87180ab515ac3e54f0a49358c66b4d7
2026-09-17,二、原始要求与计划如何核对,历史计划，仍可作范围导航,FA26 项目交付计划与资料附录,FA26_DELIVERY_PLAN.zh-CN.md,模块工作、依赖及交付组织。看当前完成情况时回到实施状态，不能逐字沿用旧“待建”。,md,Git 已跟踪,35381,ec652075eb0117e5478bf40944eebeb90df4dfb0e359d4476ae8c790bf2922e6
2026-09-17,四、数据契约、附件与正文质量,实施前历史审计,FA26 现有资产质量、输入与输出,FA26_EXISTING_QUALITY_AND_IO.zh-CN.md,看接手时的 CSV／标签／脚本质量。开头“未找到完整应用”描述当时附件，不代表今天尚无应用。,md,Git 已跟踪,19751,46101f8364f0581171d97907207fcf10d231ecfacda858434b7b882285da4899
2026-09-17,六、历史研究、产品参考与文本快照,历史访问记录,FA26 项目介绍的逐链接阅读与目的说明,FA26_LINKS_AND_PURPOSE.zh-CN.md,旧版介绍含两个沟通模板；最新版是 16 个网页入口，见资料附录。成功/受限状态只对应当时访问。,md,Git 已跟踪,16515,73a8d00e2d222e322479ceea00690e82954440b62234eaca04e240d5d8de6720
2026-09-17,二、原始要求与计划如何核对,资料索引＋历史计划快照,FA26 文件与资料用途附录,FA26_RESOURCE_APPENDIX.zh-CN.md,最新附件实际引用的 16 个网页入口、未链接资料和旧模板区别；其中“待建”按当时状态保留。,md,Git 已跟踪,23013,8beb1ff64684f78843634a26740a794b33ec06139d97ab97907d3b5bfa1ed473
2026-09-17,二、原始要求与计划如何核对,实施前路线说明,FA26 广告观测平台：技术路线与完整 Pipeline,FA26_TECHNICAL_PIPELINE.zh-CN.md,理解预期的数据到看板/RAG 流程；现有接口、运行方式以代码和当前 docs 为准。,md,Git 已跟踪,31942,fc51b6e1c87daaa22414b43c517588f513090af1920bd7447782e0819a577a11
2026-09-17,四、数据契约、附件与正文质量,历史来源说明，仍可作导航,原生广告资料包：阅读说明与访问入口,PDF_ARCHIVE_GUIDE.zh-CN.md,归档结构、媒体样本、代码和质量问题；具体已恢复正文看后续恢复报告。,md,Git 已跟踪,11326,4b4b36405aef483cd42417cb7744c3f397da0a6b572cca723e930eb1015640ca
2026-09-17,四、数据契约、附件与正文质量,逐件来源索引,PDF 原文访问目录,PDF_SOURCE_INDEX.zh-CN.md,按 PDF 编号打开存档与来源候选。编号不是广告 ID，标题匹配不是同篇或在线有效证明。,md,Git 已跟踪,126875,64d395f54c426981e7d6ccc44b4260fb66e214ea08a45d764af6b444739ae4a5
2026-09-17,六、历史研究、产品参考与文本快照,2026-09-15 历史综述,DS 549 广告观察平台项目阅读与接手分析,PROJECT_REVIEW.zh-CN.md,初始项目目标、旧方法、数据问题和链接状态；“源码未取得”指当时旧仓库和附件范围。,md,Git 已跟踪,15842,5d9355e78cd4d8ca179c49f4c39abfb43069e114e38fef3bb0d14dff361eb2c1
2026-09-17,一、当前入口,当前,CISS Advertising Observatory,README.md,当前。启动、停止、安装、测试和主要交付入口。,md,Git 已跟踪,10943,f6f52c0d16df2aeee948ba6c141ad4015b8a8c11f8f1d5f5f48d9f3744a81e76
2026-09-17,四、数据契约、附件与正文质量,采纳前的 AI 审阅证据,合并表新增 12 个 URL：集中审核与纳入建议,reports/additional_url_review.md,7 纳入／4 排除／1 待定的依据；是否已应用看下一项发布报告，不能沿用本报告当时的“未执行”。,md,Git 已跟踪,32810,626767fa449b947fc93aef866258eb0b0bfd227c07b218100084e5c45097295d
2026-09-17,一、当前入口,2026-09-16 审计证据,三个附件中哪些资料还需要使用,reports/ARCHIVE_REUSE_REVIEW_20260916.zh-CN.md,2026-09-16 审计证据。区分已保存、已使用和可补用，链接各包清点结果。,md,新增文档（尚未 Git 跟踪）,13153,79d14a4cb8156f68ed376eb102d75b4d7af282681d88376b2d1c3022e5657f62
2026-09-17,四、数据契约、附件与正文质量,附件核对证据,FA25_SP26 压缩包复核,reports/archive_review_fa25_20260916.md,171 个文件的用途和同内容副本；区分模型输出、标注底稿、研究手稿与缺失源码。,md,新增文档（尚未 Git 跟踪）,10355,fd07e8f2d9aa6827f9543db02910b2993cbcca1e3b17f558a856883f163b9848
2026-09-17,四、数据契约、附件与正文质量,附件核对证据,Native Advertising Data 压缩包复核,reports/archive_review_native_20260916.md,原始 XLSX／清洗表／手标及合并表的内容、字段和差异；不因文件较大或较新就替换主表。,md,新增文档（尚未 Git 跟踪）,8149,7e0d663f9a7aed26d0457c53f981f75084ec98147ac3a3648371e24f7c488570
2026-09-17,五、评价协议与版本证据,历史 AI 语义意见,开发集回答的 AI 辅助语义审阅,reports/assisted_semantic_review.md,早期水处理、蓝氢、引文充分性等失败分析。,md,Git 已跟踪,8281,38f21a745d474f2310ddfcb4c803bbfd409d53b7f50d7fc7432cc28291b6d8ed
2026-09-17,五、评价协议与版本证据,历史 AI 语义意见,Citation-first 开发输出：AI 辅助语义审阅,reports/assisted_semantic_review_citation_first.md,0.1.1 所存 17 条回答单元及当时引用问题。,md,Git 已跟踪,9583,29c10488bfb9b5d8944df73c3106a971aa35eccd13282a75bd933f0aff7bbae6
2026-09-17,五、评价协议与版本证据,历史 AI 语义意见,新上下文检索运行：AI 辅助语义审阅,reports/assisted_semantic_review_context.md,早期上下文检索运行及其待人工判读条目。,md,Git 已跟踪,10896,e7d3062e98a1d32b7463fd507c25273dff0c593f4d20449b684b46c28cd03139
2026-09-17,五、评价协议与版本证据,历史 AI 语义意见,v0.2 开发输出：AI 辅助语义复核,reports/assisted_semantic_review_v0_2.md,保存英语问题输出法语/西语等实际失败；不是当前重跑结果。,md,Git 已跟踪,11662,efb1aaa7a6d7408869926357aa3454e9d51e095772f334fd7731983e7aa068db
2026-09-17,五、评价协议与版本证据,历史 AI 语义意见,v0.2.1：AI 辅助语义复核,reports/assisted_semantic_review_v0_2_1.md,语言修复后的残留归因和单位对象问题。,md,Git 已跟踪,5684,357ae86d0d84c1bae9e23b7f314a248e9708dc254339a48358f24fb6a0d03837
2026-09-17,五、评价协议与版本证据,历史 AI 语义意见,v0.2.2：AI 辅助内容复核,reports/assisted_semantic_review_v0_2_2.md,广告归因、蓝氢对象、额外背景与必要指代；人工未验收。,md,Git 已跟踪,5323,82c7fa9b6a901d01eb51c0e70b715ce5e4fa9e836f6a21da1778dd8cb24d4a6b
2026-09-17,五、评价协议与版本证据,最近 AI 语义意见,v0.2.4：AI 辅助内容与引文复核,reports/assisted_semantic_review_v0_2_4.md,21 条引用的归因、数量、完整性和聚焦问题；链接人工列全空的逐条 CSV，不提供人工通过率。,md,Git 已跟踪,10171,39a43340fe3d782077d427b277aadc3952b9c0216f09bcb0d155c29cbc959b87
2026-09-17,三、运行、维护与交接,历史恢复证据,主库备份与新库恢复验证,reports/backup_restore.md,对应早期数据和运行；不能替代较新的当前快照恢复报告。,md,Git 已跟踪,3967,bd122a8e427222f563a1923d3937bb7962451c523883a4125c6c0d0311f121df
2026-09-17,三、运行、维护与交接,对应快照的恢复证据,当前原生快照的备份与恢复 — 0.2.4,reports/backup_restore_v0_2_4.md,查看 275 条当前快照、旧版本引用、账本和表结构的本机恢复核对；不是另一机器或云端灾备验收。,md,Git 已跟踪,4069,f6634cc284acacc20042aa3c44e71656936d989c058212b43ed7c20524e58320
2026-09-17,五、评价协议与版本证据,历史改动／运行证据,0.2.2：回答中的来源归因与数量对象,reports/claim_contract_v0_2_2.md,schema/prompt 对来源和数字对象的约束；旧 d85… 数据，不是当前模型重测。,md,Git 已跟踪,4419,3e9d03a34d61f871d11528a2c90ef0afef3bbf47b87d5491f64fe4a4199286cc
2026-09-17,五、评价协议与版本证据,当前应用修复证据,Dashboard 同次刷新的一致性 — 0.2.5,reports/dashboard_consistency_v0_2_5.md,明细和图表共用一次查询、未知日期处理与相应工程验证；未重跑付费生成。,md,Git 已跟踪,3608,280ffdc09a1e3e0874fb887a386d4fe0f45b7f9d137d2f66537247f885e752a1
2026-09-17,四、数据契约、附件与正文质量,历史发布证据,0.2.0：新增记录接入与正文区间修复,reports/data_revision_v0_2.md,新增记录、字段规范化和正文范围采纳；其 d85…／554 块是旧快照。,md,Git 已跟踪,5975,57f21d617bc852159a82408f88b32da912c1db68c81ffd6904d4480fd851c557
2026-09-17,一、当前入口,历史运行证据入口,当前评价入口：0.3.1（2026-09-17）,reports/evaluation.md,历史运行证据入口。按 run、数据版本和分母阅读；最新两次 API 连通检查见 0.3.0 发布记录。,md,Git 已跟踪,11007,493aad4baedb0aa6f680a95c58ae5f56db893118e7f6554626e0030289f8533a
2026-09-17,五、评价协议与版本证据,历史工程／运行证据,0.1.1：回答约束、故障验证与交接修订,reports/evaluation_v0_1_1.md,先选择引用再生成、故障路径和交接修订的早期版本。,md,Git 已跟踪,4200,13287f9cab4abfcf317810cb840561e63aa3616b22ad2d189c09629ba2f2fc37
2026-09-17,二、原始要求与计划如何核对,当前审计证据,FA26 文档要求与当前实现核对,reports/FA26_REQUIREMENTS_AUDIT.zh-CN.md,逐项对照课程原文、当前代码和验证；查双库、归档、公众部署、GitHub、客户审阅等缺口。,md,新增文档（尚未 Git 跟踪）,19776,1b5b270df40c925e659f9f2f899e0ff31a3c78a2b84a9b0c26a54be88106782c
2026-09-17,二、原始要求与计划如何核对,原始要求的核对副本,FA26 原文条款核对摘录,reports/fa26_requirements_source_20260916.md,保存 DOCX 来源哈希和 P 段落编号。P 不是页码，摘录中的行动要求不代表已执行。,md,新增文档（尚未 Git 跟踪）,20845,67489240d20ce6195882473120525032b49a534ee99787f885f1a1ec246a8c4c
2026-09-17,三、运行、维护与交接,保存的工程证据,M5/M7：故障降级与费用账本验证,reports/failure_path_checks.md,网络/模型失败、费用预留、降级等测试范围；测试数字只属于该报告记录的运行。,md,Git 已跟踪,4308,4f67d6c6ac2d611e3cdd1aa34dae10521515218528d47e1662d1b86b5c2d9423
2026-09-17,三、运行、维护与交接,历史交接证据,源码交接 ZIP 的隔离复现检查,reports/handoff_validation.md,首版包安装、离线测试及当时发现的可携带性缺口。,md,Git 已跟踪,6529,c3a65762f9479d139d36782f1b4cf9018ed53cfe4f827a0ae286142eabbcf940
2026-09-17,三、运行、维护与交接,历史交接证据,0.1.1 源码交接包 v2 清单与链接验证,reports/handoff_validation_v2.md,v2 对首版遗漏的修复；这一轮没有重跑安装和全套测试。,md,Git 已跟踪,3947,073c6f7296615fbe366bcc9de0a712f2a0d4accfcb994f7b11a63f9a5044ef89
2026-09-17,三、运行、维护与交接,历史交接证据,v3 源码交接包：有界只读核对,reports/handoff_validation_v3.md,对该 ZIP 的内容哈希、关键文件和历史链接缺件做有界检查；不是当前包的自动证明。,md,Git 已跟踪,4772,5d1a16870543d9278462f78ab88622cb955f50a119f53f555e43961a4f36f76e
2026-09-17,五、评价协议与版本证据,历史改动／运行证据,0.2.1：复用语言工具，修复错语回答的发布路径,reports/language_guard_v0_2_1.md,Lingua 语言推断、保守错语拦截及短缩写边界。,md,Git 已跟踪,5610,1459a3f9185eff4aae3256716b6cc5ca723facdaff5b61cb1ddb8592c64ae7fc
2026-09-17,四、数据契约、附件与正文质量,0.2.3 发布与定位证据,PDF-265：有限正文续文与来源定位,reports/pdf265_body_recovery.md,新旧正文版本、PDF／文本哈希、页映射和检索区间；有限续文不能称全文完整。,md,Git 已跟踪,8208,06dbb7d1f8f6d9ccac7d0769f97aa471b985d03a1e46b64ca03840c3019d7b4d
2026-09-17,四、数据契约、附件与正文质量,AI 来源核对证据,PDF-265 同篇身份核验,reports/pdf265_identity_review.md,本地采集清单和跨页内容如何支持同篇身份；不是线上 canonical URL 确认。,md,Git 已跟踪,3674,5805e17f2105f16d95497c75c1c5adb60c36a4574ad0cb48c52a3c7f134206c2
2026-09-17,四、数据契约、附件与正文质量,AI 区间审阅证据,PDF-265 保留区间独立检查,reports/pdf265_independent_text_review.md,六个保留区间、限定语和正文恢复范围；不是广告效果的外部事实核查。,md,Git 已跟踪,4878,1245eebececc22ea27490b65d98439d61004e54298bcbd06eca279db9374b0ca
2026-09-17,四、数据契约、附件与正文质量,AI 工程审阅证据,20 个正文前缀边界的集中审阅,reports/prefix_boundary_review.md,看导航为何不能连同后文全部裁掉，以及最小排除区间；人工判定列仍为空。,md,Git 已跟踪,37215,f8adfae17972aba692d539bc521d205660bf5a8ba89abfb15e80500253455217
2026-09-17,三、运行、维护与交接,迁移证据,项目迁移记录：C 盘 → D 盘,reports/project_migration_20260916.zh-CN.md,找当前工作目录和迁移检查；旧报告中的 C 盘绝对链接可能只在原环境可用。,md,新增文档（尚未 Git 跟踪）,3220,dd2954c9711dc31d016a20e7baf648060a74270e4b6c3354747c27e723b59ef5
2026-09-17,五、评价协议与版本证据,最近付费 RAG／复现证据,0.2.4：PDF 引文上下文与干净导入复现,reports/quote_context_v0_2_4.md,PDF 换行分句、开发集与独立两题 smoke、源码和 wheel 复现；定向 smoke 不替代验收题库。,md,Git 已跟踪,6843,ea332b4e882c3af698d722cb0b49793ac3dfa16fc1233bac8ceea3f3b7199e0c
2026-09-17,一、当前入口,发布前快照诊断,当前 RAG 切片只读核验（2026-09-16）,reports/rag_chunking_corpus_audit_20260916.md,发布前快照诊断。段落、token、句内切口及单块覆盖的明确分母。,md,新增文档（尚未 Git 跟踪）,6683,d6cb73ee417eabb2f7ce4f3a660647244b5722e14bd0aae85f68ad9a9b4ed616
2026-09-17,一、当前入口,发布前迁移约束,分块、检索与评价迁移审查,reports/rag_chunking_migration_review_20260916.md,发布前迁移约束。相同正文跳过导入、历史引用保留及评价隔离；实际迁移见 0.3.0 发布记录。,md,新增文档（尚未 Git 跟踪）,7788,367229a498c1632e06bf3299be0acd4eb6ea70d958f4133f84441d972232c6f7
2026-09-17,配套检查输出,原始检查日志,........................................................................ [ 22%],reports/rag_chunking_pytest_20260916.txt,工程或审计保存的命令输出，按文件日期、运行版本和检查范围理解。,txt,新增文档（尚未 Git 跟踪）,427,db15a16d990aa0f81b995a754de023b11df69017a78087f9cd350cbfd0edceb5
2026-09-17,一、当前入口,2026-09-16 候选改动证据,RAG 切分审查与候选实现,reports/rag_chunking_review_20260916.zh-CN.md,2026-09-16 候选改动证据。当时的只读检索对比及采用限制；实际启用见较新发布记录。,md,新增文档（尚未 Git 跟踪）,14539,c8a35f74f1c191ce5e35d6b1b193684c9e4b1cc8a81c7bb14520b2c1661c918c
2026-09-17,配套检查输出,原始检查日志,All checks passed!,reports/rag_chunking_ruff_20260916.txt,工程或审计保存的命令输出，按文件日期、运行版本和检查范围理解。,txt,新增文档（尚未 Git 跟踪）,20,a4443afdcfb6d7363adb285762515ccf7cf50473b1a05c20c1a50f6bed4d26b0
